,X,y
139,[-0.27929902  0.09796682 -0.05218535  1.14910997  0.04338304 -1.18686323],1
140,[-0.04138965 -0.14373818 -0.00880802  1.17015702 -0.02468093 -1.15421563],1
141,[-0.16372684 -0.24410062 -0.50498336  1.06376454  0.00534984 -1.0403619 ],0
142,[-0.59170736  0.58599678 -1.57079633  0.50385304  0.2465219  -0.75606354],0
143,[-0.28663971 -0.2168589  -0.27294709  1.28461972  0.28813114 -0.90960423],0
144,[-0.2223206  -0.23514127  0.04214238  1.10527991  0.02048138 -1.20837866],1
145,[-0.28929474 -0.67162079 -0.10590203  1.14139899  0.00693897 -1.19727884],1
146,[-1.01392176 -1.16964098 -0.11874417  1.22229855  0.84001959  0.10679196],0
147,[-0.00261329 -0.42461694 -0.30230612  1.16849248  0.14410982 -1.08255579],0
148,[-0.42519098 -0.16552587  0.38704183  0.98974577  0.05395518 -1.37085892],1
149,[-0.4051513  -0.40553817 -0.22267901  1.1881228  -0.08594984 -1.04419492],1
150,[-0.01902636 -0.72424211 -0.23612833  1.10220053  0.06552134 -1.2552535 ],1
151,[ 0.23351155 -0.1068001  -0.1511921   1.10061703  0.15446576 -1.21143821],1
152,[-0.88520832  0.2100452  -0.55185598  1.03991891 -0.08308204 -0.94114279],0
153,[-0.13967356 -0.3613448  -0.72038368  0.97913086  0.15381525 -0.87900489],0
154,[-0.26663037  0.012352   -0.1106321   1.03445189  0.08591206 -1.19911081],1
155,[ 0.29006571 -0.1592921   0.16374349  1.01309693  0.13909463 -1.35143057],1
156,[-0.25336517 -0.21734451 -0.23542434  1.13001641  0.08597845 -0.93222762],0
157,[-0.43953146 -0.18987885  0.05578868  1.14309007  0.03010181 -1.11020697],1
158,"[-5.28414295e-01 -4.05265323e-02  1.80426383e-01  1.08227583e+00
 -7.87209740e-04 -1.13750577e+00]",1
159,[ 0.00926102 -0.45107323 -0.06548462  1.03347665  0.08248521 -1.32706581],1
160,[-0.11854774 -0.57243764  0.00995202  1.08354711  0.07066635 -1.34343893],1
161,[ 0.43797489 -0.34390455 -0.02552274  0.95445982  0.16086867 -1.38431382],1
162,[-0.2496794   0.21702749 -0.45764283  1.0907877   0.14539852 -0.89742837],0
163,[-0.03661603 -0.21999628 -0.03492286  0.98207975  0.11783191 -1.29458511],1
164,[-0.31380522 -0.58375453 -0.42301077  1.09218523 -0.08438771 -1.06381046],0
165,[-0.44609948 -0.60958492 -0.01188923  0.95932014  0.0885819  -1.40326235],1
166,[ 0.67505165 -0.23140807 -0.66260673  1.07777935  0.20429732 -1.3109351 ],0
167,[-0.18484635 -0.31260529 -0.21676558  1.04066435  0.09626287 -1.27345164],1
168,[ 0.49557745 -0.57469082 -0.58229707  1.05603329  0.19334374 -1.30440047],0
169,[-0.75575709 -0.51871666 -0.31249704  1.10012966 -0.02811414 -1.03868787],1
